name,true_label,pred_label,prec
512,1,1,0.56
513,1,1,0.71
514,1,0,0.26
515,1,1,0.71
516,1,1,0.67
517,1,1,0.71
518,1,1,0.76
519,1,1,0.73
520,1,0,0.44
521,1,1,0.8
522,1,1,0.74
523,1,0,0.4
524,1,0,0.53
525,1,1,0.65
526,1,0,0.52
527,1,1,0.66
528,1,1,0.63
529,1,1,0.85
530,1,0,0.53
531,1,1,0.85
532,1,0,0.33
533,1,1,0.79
534,1,1,0.77
535,1,1,0.81
536,1,1,0.74
537,1,0,0.55
538,1,1,0.66
539,1,1,0.78
540,1,1,0.58
541,1,0,0.48
542,1,1,0.74
543,1,1,1.0
544,1,1,0.79
545,1,1,0.78
546,1,1,0.64
547,1,1,0.7
548,1,0,0.35
549,1,0,0.4
550,1,0,0.54
551,1,0,0.5
552,1,0,0.54
553,1,1,0.83
554,1,1,0.84
555,1,1,0.81
556,1,1,0.56
557,1,1,0.98
558,1,1,0.58
559,1,1,0.83
560,1,1,0.77
561,1,1,0.57
562,1,0,0.52
563,1,1,0.64
564,1,1,0.58
565,1,1,0.73
566,1,1,0.81
567,1,1,0.81
568,1,1,0.62
569,1,0,0.54
570,1,1,0.68
571,1,1,0.68
572,1,1,0.63
573,1,1,0.61
574,1,1,0.78
575,1,0,0.51
576,1,0,0.36
577,1,1,0.8
578,1,1,0.67
579,1,1,0.78
580,1,1,0.61
581,1,1,0.74
582,1,1,0.86
583,1,1,0.79
584,1,1,0.79
585,1,1,0.58
586,1,1,0.73
587,1,1,0.55
588,1,1,0.8
589,1,0,0.52
590,1,1,0.72
591,1,1,0.7
592,1,0,0.46
593,1,1,0.98
594,1,1,0.74
595,1,1,0.92
596,1,1,0.63
597,1,1,0.62
598,1,0,0.52
599,1,0,0.38
600,1,0,0.34
601,1,1,0.72
602,1,1,0.64
603,1,1,0.79
604,1,1,0.64
605,1,1,0.79
606,1,1,0.8
607,1,1,0.96
608,1,1,0.72
609,1,1,0.8
610,1,0,0.5
611,1,1,0.77
612,1,1,0.72
613,1,1,0.64
614,1,1,0.58
615,1,1,0.74
616,1,1,0.63
617,1,1,0.73
618,1,1,0.84
619,1,1,0.58
620,1,1,0.78
621,1,1,0.64
622,1,1,0.95
623,1,1,0.59
624,1,1,0.7
625,1,1,0.76
626,1,1,0.55
627,1,1,0.7
628,1,1,0.84
629,1,1,0.61
630,1,1,0.84
631,1,1,0.7
632,1,1,0.77
633,1,1,0.59
634,1,1,0.72
635,1,0,0.52
636,1,0,0.28
637,0,1,0.74
638,0,1,0.68
639,0,0,0.16
640,0,0,0.17
641,0,1,0.72
642,0,0,0.28
643,0,1,0.61
644,0,1,0.56
645,0,1,0.67
646,0,0,0.42
647,0,0,0.23
648,0,0,0.45
649,0,0,0.16
650,0,1,0.67
651,0,0,0.4
652,0,1,0.63
653,0,1,0.72
654,0,0,0.44
655,0,0,0.29
656,0,0,0.5
657,0,1,0.64
658,0,1,0.58
659,0,0,0.4
660,0,0,0.36
661,0,0,0.07
662,0,0,0.05
663,0,0,0.18
664,0,0,0.3
665,0,0,0.5
666,0,0,0.22
667,0,0,0.27
668,0,0,0.31
669,0,0,0.1
670,0,0,0.32
671,0,0,0.35
672,0,0,0.33
673,0,0,0.14
674,0,0,0.14
675,0,0,0.0
676,0,0,0.41
677,0,1,0.75
678,0,0,0.46
679,0,1,0.64
680,0,0,0.0
681,0,0,0.35
682,0,0,0.41
683,0,0,0.06
684,0,0,0.45
685,0,0,0.33
686,0,0,0.38
687,0,0,0.26
688,0,0,0.22
689,0,0,0.18
690,0,1,0.69
691,0,1,0.75
692,0,0,0.17
693,0,0,0.19
694,0,0,0.0
695,0,0,0.52
696,0,0,0.0
697,0,0,0.16
698,0,0,0.13
699,0,0,0.09
700,0,0,0.36
701,0,0,0.18
702,0,0,0.0
703,0,1,0.68
704,0,0,0.11
705,0,1,0.73
706,0,0,0.47
707,0,0,0.2
708,0,0,0.47
709,0,0,0.24
710,0,0,0.43
711,0,0,0.14
712,0,0,0.14
713,0,0,0.06
714,0,0,0.4
715,0,0,0.35
716,0,1,0.65
717,0,0,0.08
718,0,0,0.18
719,0,0,0.28
720,0,0,0.0
721,0,0,0.29
722,0,0,0.08
723,0,0,0.18
724,0,0,0.19
725,0,0,0.23
726,0,0,0.36
727,0,0,0.2
728,0,1,0.78
729,0,0,0.52
730,0,0,0.52
731,0,0,0.25
732,0,0,0.08
733,0,0,0.33
734,0,0,0.32
735,0,0,0.5
736,0,0,0.35
737,0,1,0.67
738,0,0,0.54
739,0,0,0.17
740,0,0,0.1
741,0,1,0.67
742,0,0,0.5
743,0,0,0.18
744,0,0,0.03
745,0,0,0.38
746,0,0,0.48
747,0,0,0.0
748,0,0,0.32
749,0,1,0.57
750,0,0,0.44
751,0,0,0.3
752,0,1,0.7
753,0,0,0.17
754,0,0,0.09
755,0,0,0.21
756,0,0,0.24
757,0,0,0.49
758,0,1,0.76
759,0,0,0.07
760,0,1,0.65
761,0,0,0.21
762,0,0,0.3
763,0,0,0.13
764,0,0,0.16
765,0,0,0.13
766,0,1,0.56
767,0,0,0.33
768,0,0,0.37
769,0,0,0.54
770,0,0,0.21
771,0,0,0.44
772,0,0,0.44
773,0,0,0.0
774,0,0,0.05
775,0,1,0.7
776,0,0,0.42
777,0,1,0.83
778,0,0,0.25
779,0,0,0.08
780,0,0,0.1
781,0,0,0.32
782,0,0,0.32
783,0,0,0.05
784,0,0,0.45
785,0,0,0.52
786,0,0,0.5
787,0,1,0.76
788,0,1,0.68
789,0,1,0.55
502,1,1,0.81
503,1,1,0.57
504,1,1,0.91
505,1,1,0.56
506,1,1,0.9
507,1,1,0.85
508,1,1,0.69
509,1,1,0.8
510,1,1,0.56
511,1,1,0.84
