name,true_label,pred_label,prec
512,1,0,0.47
513,1,1,0.58
514,1,0,0.15
515,1,0,0.29
516,1,1,0.64
517,1,1,0.57
518,1,1,0.7
519,1,1,0.61
520,1,0,0.31
521,1,1,0.81
522,1,1,0.59
523,1,0,0.35
524,1,0,0.41
525,1,1,0.6
526,1,1,0.67
527,1,1,0.72
528,1,1,0.68
529,1,1,0.65
530,1,1,0.62
531,1,1,0.71
532,1,0,0.37
533,1,1,0.74
534,1,1,0.9
535,1,1,0.82
536,1,1,0.73
537,1,1,0.51
538,1,1,0.64
539,1,1,0.7
540,1,1,0.5
541,1,1,0.6
542,1,1,0.7
543,1,1,1.0
544,1,1,0.67
545,1,1,0.69
546,1,1,0.61
547,1,1,0.59
548,1,1,0.56
549,1,0,0.34
550,1,0,0.38
551,1,0,0.41
552,1,1,0.61
553,1,1,0.67
554,1,1,0.7
555,1,1,0.63
556,1,1,0.65
557,1,1,0.87
558,1,1,0.57
559,1,1,0.72
560,1,1,0.72
561,1,0,0.43
562,1,0,0.43
563,1,1,0.54
564,1,0,0.38
565,1,1,0.63
566,1,1,0.5
567,1,1,0.6
568,1,0,0.38
569,1,0,0.46
570,1,1,0.55
571,1,1,0.73
572,1,1,0.66
573,1,1,0.57
574,1,1,0.73
575,1,1,0.57
576,1,0,0.36
577,1,1,0.82
578,1,0,0.44
579,1,1,0.64
580,1,1,0.58
581,1,1,0.5
582,1,1,0.82
583,1,1,0.68
584,1,1,0.62
585,1,1,0.67
586,1,1,0.71
587,1,1,0.56
588,1,1,0.73
589,1,1,0.61
590,1,1,0.97
591,1,1,0.52
592,1,0,0.46
593,1,1,0.85
594,1,0,0.35
595,1,1,0.73
596,1,1,0.58
597,1,1,0.62
598,1,0,0.39
599,1,1,0.62
600,1,0,0.38
601,1,1,0.62
602,1,1,0.58
603,1,1,0.71
604,1,1,0.65
605,1,1,0.63
606,1,1,0.61
607,1,1,0.83
608,1,1,0.69
609,1,1,0.61
610,1,1,0.62
611,1,1,0.77
612,1,0,0.46
613,1,1,0.6
614,1,1,0.55
615,1,1,0.69
616,1,1,0.52
617,1,0,0.48
618,1,1,0.82
619,1,1,0.61
620,1,1,0.67
621,1,1,0.59
622,1,1,0.87
623,1,1,0.5
624,1,1,0.53
625,1,1,0.85
626,1,0,0.41
627,1,1,0.7
628,1,1,0.6
629,1,1,0.5
630,1,1,0.86
631,1,1,0.67
632,1,1,0.79
633,1,0,0.46
634,1,1,0.62
635,1,0,0.48
636,1,0,0.1
637,0,1,0.74
638,0,1,0.64
639,0,1,0.68
640,0,0,0.04
641,0,1,0.76
642,0,0,0.06
643,0,1,0.52
644,0,0,0.48
645,0,1,0.67
646,0,0,0.42
647,0,1,0.52
648,0,0,0.35
649,0,0,0.11
650,0,1,0.8
651,0,0,0.2
652,0,1,0.63
653,0,1,0.92
654,0,1,0.64
655,0,0,0.29
656,0,1,0.53
657,0,1,0.6
658,0,1,0.6
659,0,0,0.17
660,0,0,0.0
661,0,0,0.1
662,0,0,0.05
663,0,0,0.11
664,0,0,0.39
665,0,1,0.58
666,0,0,0.04
667,0,0,0.14
668,0,1,0.57
669,0,0,0.07
670,0,0,0.08
671,0,0,0.35
672,0,0,0.24
673,0,0,0.11
674,0,0,0.05
675,0,0,0.0
676,0,0,0.24
677,0,1,0.62
678,0,0,0.23
679,0,1,0.64
680,0,0,0.03
681,0,0,0.05
682,0,0,0.18
683,0,0,0.0
684,0,1,0.51
685,0,0,0.17
686,0,0,0.17
687,0,0,0.0
688,0,0,0.09
689,0,0,0.0
690,0,1,0.67
691,0,1,0.6
692,0,0,0.17
693,0,0,0.05
694,0,0,0.05
695,0,0,0.36
696,0,0,0.0
697,0,0,0.16
698,0,0,0.2
699,0,0,0.22
700,0,0,0.39
701,0,0,0.16
702,0,0,0.0
703,0,1,0.75
704,0,0,0.05
705,0,1,0.73
706,0,0,0.29
707,0,0,0.16
708,0,1,0.53
709,0,0,0.18
710,0,0,0.35
711,0,0,0.16
712,0,0,0.19
713,0,0,0.0
714,0,0,0.13
715,0,0,0.35
716,0,1,0.57
717,0,0,0.17
718,0,0,0.27
719,0,0,0.24
720,0,0,0.0
721,0,0,0.12
722,0,0,0.11
723,0,0,0.09
724,0,0,0.02
725,0,0,0.14
726,0,0,0.32
727,0,0,0.0
728,0,1,0.57
729,0,0,0.43
730,0,0,0.24
731,0,0,0.38
732,0,0,0.08
733,0,0,0.11
734,0,0,0.3
735,0,0,0.1
736,0,0,0.21
737,0,0,0.4
738,0,0,0.46
739,0,0,0.21
740,0,0,0.2
741,0,1,0.52
742,0,0,0.38
743,0,0,0.36
744,0,0,0.0
745,0,0,0.23
746,0,0,0.42
747,0,0,0.0
748,0,0,0.08
749,0,1,0.53
750,0,0,0.24
751,0,0,0.04
752,0,1,0.57
753,0,0,0.04
754,0,0,0.0
755,0,0,0.0
756,0,0,0.08
757,0,0,0.44
758,0,1,0.62
759,0,0,0.17
760,0,1,0.65
761,0,0,0.0
762,0,0,0.15
763,0,0,0.03
764,0,0,0.16
765,0,0,0.17
766,0,1,0.53
767,0,0,0.15
768,0,0,0.07
769,0,0,0.31
770,0,0,0.11
771,0,0,0.4
772,0,0,0.44
773,0,0,0.0
774,0,0,0.0
775,0,0,0.33
776,0,0,0.31
777,0,1,0.67
778,0,0,0.2
779,0,0,0.16
780,0,0,0.1
781,0,0,0.28
782,0,0,0.18
783,0,0,0.0
784,0,0,0.21
785,0,0,0.37
786,0,1,0.79
787,0,1,0.61
788,0,1,0.65
789,0,0,0.44
502,1,1,0.67
503,1,1,0.62
504,1,1,0.78
505,1,1,0.56
506,1,1,0.66
507,1,1,0.77
508,1,1,0.81
509,1,1,0.88
510,1,0,0.38
511,1,1,0.75
