name,true_label,pred_label,prec
512,1,0,0.47
513,1,1,0.71
514,1,0,0.33
515,1,1,0.68
516,1,1,0.63
517,1,1,0.62
518,1,1,0.64
519,1,1,0.78
520,1,0,0.31
521,1,1,0.75
522,1,1,0.82
523,1,0,0.33
524,1,1,0.53
525,1,1,0.87
526,1,1,0.89
527,1,1,0.74
528,1,0,0.33
529,1,1,0.74
530,1,0,0.2
531,1,1,0.56
532,1,0,0.48
533,1,1,0.74
534,1,1,0.91
535,1,1,0.74
536,1,1,0.68
537,1,1,0.57
538,1,1,0.79
539,1,1,0.67
540,1,1,0.66
541,1,1,0.79
542,1,1,0.84
543,1,1,0.8
544,1,1,0.94
545,1,1,0.69
546,1,1,0.79
547,1,1,0.56
548,1,0,0.29
549,1,0,0.36
550,1,1,0.58
551,1,1,0.88
552,1,1,0.63
553,1,1,0.83
554,1,1,0.78
555,1,0,0.48
556,1,1,0.76
557,1,1,0.94
558,1,1,0.68
559,1,1,0.85
560,1,1,0.76
561,1,1,0.52
562,1,0,0.37
563,1,1,0.71
564,1,1,0.62
565,1,1,0.8
566,1,1,0.65
567,1,1,0.86
568,1,0,0.31
569,1,1,0.52
570,1,1,0.66
571,1,1,0.8
572,1,1,0.71
573,1,1,0.61
574,1,1,0.95
575,1,1,0.6
576,1,0,0.31
577,1,0,0.48
578,1,1,0.64
579,1,1,0.63
580,1,1,0.77
581,1,1,0.79
582,1,1,0.76
583,1,1,0.87
584,1,1,0.67
585,1,1,0.77
586,1,1,0.7
587,1,1,0.66
588,1,1,0.59
589,1,1,0.58
590,1,1,0.64
591,1,1,0.83
592,1,0,0.43
593,1,1,0.75
594,1,1,0.65
595,1,1,0.85
596,1,1,0.58
597,1,1,0.7
598,1,0,0.39
599,1,0,0.22
600,1,0,0.48
601,1,1,0.97
602,1,0,0.47
603,1,0,0.42
604,1,1,0.5
605,1,1,0.76
606,1,1,0.75
607,1,1,0.91
608,1,1,0.67
609,1,1,0.61
610,1,1,0.56
611,1,1,0.78
612,1,1,0.75
613,1,1,0.6
614,1,1,0.67
615,1,1,0.69
616,1,1,0.75
617,1,1,0.66
618,1,1,0.92
619,1,0,0.23
620,1,1,0.85
621,1,1,0.53
622,1,1,0.61
623,1,0,0.31
624,1,0,0.42
625,1,1,0.76
626,1,0,0.49
627,1,1,0.84
628,1,1,0.82
629,1,1,0.68
630,1,1,0.96
631,1,1,0.67
632,1,1,0.64
633,1,0,0.37
634,1,1,0.79
635,1,1,0.59
636,1,0,0.28
637,0,1,0.91
638,0,1,0.59
639,0,0,0.0
640,0,0,0.0
641,0,1,0.6
642,0,0,0.11
643,0,0,0.43
644,0,1,0.81
645,0,1,0.77
646,0,0,0.27
647,0,1,0.55
648,0,1,0.52
649,0,0,0.21
650,0,0,0.43
651,0,0,0.13
652,0,0,0.4
653,0,1,0.81
654,0,1,0.64
655,0,0,0.42
656,0,0,0.47
657,0,1,0.52
658,0,0,0.47
659,0,0,0.19
660,0,0,0.4
661,0,0,0.07
662,0,0,0.03
663,0,0,0.11
664,0,1,0.52
665,0,0,0.33
666,0,0,0.0
667,0,0,0.14
668,0,0,0.37
669,0,0,0.12
670,0,0,0.12
671,0,0,0.42
672,0,0,0.29
673,0,0,0.11
674,0,0,0.05
675,0,0,0.05
676,0,0,0.24
677,0,0,0.25
678,0,1,0.73
679,0,0,0.32
680,0,0,0.06
681,0,0,0.0
682,0,1,0.53
683,0,0,0.17
684,0,0,0.49
685,0,0,0.28
686,0,0,0.04
687,0,0,0.13
688,0,0,0.44
689,0,0,0.05
690,0,1,0.56
691,0,0,0.3
692,0,0,0.17
693,0,0,0.1
694,0,0,0.4
695,0,1,0.61
696,0,0,0.0
697,0,0,0.0
698,0,0,0.07
699,0,0,0.26
700,0,1,0.5
701,0,0,0.12
702,0,0,0.0
703,0,0,0.46
704,0,0,0.11
705,0,1,0.7
706,0,0,0.06
707,0,0,0.17
708,0,0,0.47
709,0,0,0.13
710,0,0,0.22
711,0,0,0.14
712,0,0,0.14
713,0,0,0.06
714,0,0,0.47
715,0,0,0.22
716,0,1,0.75
